"","순번","시도본부","소방서","119안전센터명","주소","전화번호","lat","long"
"1",1,"서울소방재난본부","종로소방서","세종로","서울특별시 종로구 종로1길 28 (수송동)","02-734-0119","37.572852","126.978909"
"2",2,"서울소방재난본부","종로소방서","신교","서울특별시 종로구 자하문로 93 (신교동)","02-736-0119","37.584279","126.970028"
"3",3,"서울소방재난본부","종로소방서","종로","서울특별시 종로구 돈화문로 30 (묘동)","02-764-0119","37.57114","126.991994"
"4",4,"서울소방재난본부","종로소방서","연건","서울특별시 종로구 대학로 91 (연건동)","02-762-0119","37.579414","127.001835"
"5",5,"서울소방재난본부","종로소방서","신영","서울특별시 종로구 진흥로 477 (신영동)","02-391-0119","37.605796","126.960846"
"6",6,"서울소방재난본부","종로소방서","숭인","서울특별시 종로구 숭인동길 63 (숭인동)","02-929-0921","37.577764","127.021707"
"7",7,"서울소방재난본부","중부소방서_서울","무학","서울특별시 중구 퇴계로 394 (무학동)","02-2252-3311","37.564866","127.015379"
"8",8,"서울소방재난본부","중부소방서_서울","을지로","서울특별시 중구 을지로45길 43 (신당동)","02-2235-0119","37.566728","127.012026"
"9",9,"서울소방재난본부","중부소방서_서울","충무로","서울특별시 중구 충무로 11 (충무로3가)","02-2265-0119","37.562156","126.992913"
"10",10,"서울소방재난본부","중부소방서_서울","회현","서울특별시 중구 소공로 30 (회현동2가)","02-775-0119","37.558208","126.983365"
"11",11,"서울소방재난본부","중부소방서_서울","신당","서울특별시 중구 다산로8길 2 (신당동)","02-2238-0698","37.552926","127.009641"
"12",12,"서울소방재난본부","광진소방서","구의","서울특별시 광진구 광나루로 480 (구의동)","02-447-1194","37.544826","127.082778"
"13",13,"서울소방재난본부","광진소방서","능동","서울특별시 광진구 능동로 242 (능동)","02-447-0119","37.551676","127.076991"
"14",14,"서울소방재난본부","광진소방서","중곡","서울특별시 광진구 용마산로 150 (중곡동)","02-453-2119","37.566949","127.086644"
"15",15,"서울소방재난본부","성동소방서","행당(구 송정)","서울특별시 성동구 살곶이길 331(행당동)","02-2622-1605","37.553756","127.039485"
"16",16,"서울소방재난본부","성동소방서","왕십리(구 행당)","서울특별시 성동구 고산자로 249 (도선동)","02-2622-1761","37.562037","127.035475"
"17",17,"서울소방재난본부","성동소방서","성동_금호","서울특별시 성동구 난계로 19 (금호동1가)","02-2622-1771","37.554007","127.024209"
"18",18,"서울소방재난본부","성동소방서","성수","서울특별시 성동구 뚝섬로 452 (성수동2가)","02-2622-1751","37.537176","127.060655"
"19",19,"서울소방재난본부","용산소방서","한강로","서울특별시 용산구 한강대로 167 (한강로2가)","02-793-0119","37.534107","126.971507"
"20",20,"서울소방재난본부","용산소방서","이태원","서울특별시 용산구 이태원로 196 (이태원동)","02-798-0119","37.534373","126.9958"
"21",21,"서울소방재난본부","용산소방서","후암","서울특별시 용산구 후암로 34 (후암동)","02-754-0119","37.54893","126.977889"
"22",22,"서울소방재난본부","용산소방서","이촌","서울특별시 용산구 이촌로2가 1 (이촌동)","02-712-0119","37.531384","126.955346"
"23",23,"서울소방재난본부","용산소방서","서빙고","서울특별시 용산구 서빙고로67길 7(서빙고동)","02-795-7119","37.520833","126.99501"
"24",24,"서울소방재난본부","동대문소방서","동대문_장안","서울특별시 동대문구 장한로 34 (장안동)","02-2245-0119","37.563754","127.066725"
"25",25,"서울소방재난본부","동대문소방서","청량리","서울특별시 동대문구 왕산로 299 (청량리동)","02-962-0119","37.587165","127.052317"
"26",26,"서울소방재난본부","동대문소방서","전농","서울특별시 동대문구 황물로 3 (전농동)","02-2215-0119","37.576309","127.046018"
"27",27,"서울소방재난본부","동대문소방서","용두","서울특별시 동대문구 왕산로 76 (용두동)","02-928-0119","37.577849","127.031746"
"28",28,"서울소방재난본부","동대문소방서","휘경","서울특별시 동대문구 망우로 106 (휘경동)","02-2213-0119","37.590659","127.065143"
"29",29,"서울소방재난본부","중랑소방서","신내","서울특별시 중랑구 신내로 183 (신내동)","02-3422-1196","37.615386","127.094887"
"30",30,"서울소방재난본부","중랑소방서","면목","서울특별시 중랑구 동일로 475 (면목동)","02-491-5119","37.572823","127.079879"
"31",31,"서울소방재난본부","중랑소방서","망우","서울특별시 중랑구 용마산로 524 (망우동)","02-493-7119","37.597787","127.10058"
"32",32,"서울소방재난본부","중랑소방서","중화","서울특별시 중랑구 동일로 783 (중화동)","02-496-1191","37.60046","127.079334"
"33",33,"서울소방재난본부","영등포소방서","영등포","서울특별시 영등포구 문래로 197 (영등포동4가)","02-2676-0119","37.518439","126.904189"
"34",34,"서울소방재난본부","영등포소방서","여의도","서울특별시 영등포구 의사당대로 162 (여의도동)","02-783-0119","37.517225","126.927974"
"35",35,"서울소방재난본부","영등포소방서","당산","서울특별시 영등포구 양평로 70-1 (당산동6가)","02-2633-0119","37.535497","126.899193"
"36",36,"서울소방재난본부","영등포소방서","대림","서울특별시 영등포구 도림로 212 (신길동)","02-846-0119","37.497313","126.904061"
"37",37,"서울소방재난본부","영등포소방서","신길","서울특별시 영등포구 영등포로84길 31 (신길동)","02-834-0119","37.510428","126.922193"
